Name,Type,Sklearn,Pyod,Loglizer,Ml4logs,Use
Logistic Regression,Supervised,Yes,No,Yes,No,Sklearn
Decision Tree,Supervised,Yes,No,Yes,No,Sklearn
SVM,Supervised,Yes,No,Yes,No,Sklearn
LOF,Unsupervised,Yes,Yes,Yes,No,Pyod
One-Class SVM,Unsupervised,Yes,Yes,Yes,No,Pyod
Isolation Forest,Unsupervised,Yes,Yes,Yes,No,Pyod
PCA,Unsupervised,Yes,Yes,Yes,No,Pyod
Invariants Mining,Unsupervised,No,No,Yes,No,Loglizer
Clustering,Unsupervised,No,No,Yes,No,Loglizer
DeepLog,Unsupervised,No,No,Yes,Yes,Ml4logs and Loglizer
AutoEncoder,Unsupervised,No,Yes,No,No,Pyod
VAE,Unsupervised,No,Yes,No,No,Pyod
